@relation whatever

@attribute light numeric
@attribute sound numeric
@attribute movement numeric
@attribute locked {0,1}
@attribute charging {0,1}
@attribute state {0,1}


@data
112 , 2546 , 0.746124 , 1 , 1 , 0 
123 , 17526 , 0.641464 , 1 , 1 , 0 
125 , 8082 , 0.822998 , 1 , 1 , 0 
107 , 2955 , 0.991089 , 1 , 1 , 0 
0 , 1187 , 1.06316 , 1 , 0 , 0 
58 , 2224 , 0.376327 , 0 , 0 , 0 
0 , 2154 , 97.1759 , 1 , 0 , 0 
49 , 2057 , 4.35561 , 1 , 0 , 0 
49 , 2096 , 1.79973 , 0 , 0 , 0 
0 , 3742 , 5.51713 , 1 , 0 , 0 
44 , 7105 , 6.18502 , 0 , 0 , 0 
0 , 716 , 1.09505 , 1 , 0 , 0 
5 , 122 , 0.780601 , 1 , 1 , 0 
8 , 183 , 1.10794 , 0 , 0 , 0 
0 , 4 , 2.29308 , 0 , 0 , 0 
5 , 239 , 1.08762 , 1 , 0 , 0 
6 , 50 , 1.95912 , 1 , 0 , 0 
2 , 1008 , 15.3676 , 1 , 0 , 0 
